Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Market Value (M€)
381,Neto,br BRA,GK,Bournemouth,35.0,1989,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,1.5
382,Pedro Neto,pt POR,FW,Chelsea,24.0,2000,35.0,24.0,2.269,25.2,4.0,6.0,10.0,4.0,0.0,0.0,8.0,0.0,3.5,3.5,6.7,10.2,126.0,60.0,253.0,0.16,0.24,0.40,0.16,0.4,0.14,0.27,0.4,0.14,0.40,50.0
383,Eddie Nketiah,eng ENG,"FW,MF",Crystal Palace,25.0,1999,29.0,9.0,1.034,11.5,3.0,1.0,4.0,3.0,0.0,0.0,6.0,1.0,5.8,5.8,1.7,7.4,41.0,19.0,79.0,0.26,0.09,0.35,0.26,0.35,0.50,0.15,0.65,0.50,0.65,18.0
384,Christopher Nkunku,fr FRA,FW,Chelsea,26.0,1997,27.0,9.0,921.0,10.2,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,4.8,4.8,2.1,6.9,17.0,25.0,68.0,0.29,0.20,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,35.0
385,Gustavo Nunes,br BRA,"FW,MF",Brentford,18.0,2005,3.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.00,0.00,
386,Matheus Nunes,pt POR,"DF,MF",Manchester City,25.0,1998,26.0,19.0,1.674,18.6,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,1.2,1.2,4.4,5.6,63.0,79.0,175.0,0.05,0.32,0.38,0.05,0.38,0.07,0.23,0.3,0.07,0.30,35.0
387,Darwin Núñez,uy URU,FW,Liverpool,25.0,1999,30.0,8.0,1.133,12.6,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,5.8,5.8,1.3,7.1,23.0,27.0,78.0,0.40,0.16,0.56,0.40,0.56,0.46,0.10,0.57,0.46,0.57,45.0
388,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,17.0,2007,26.0,11.0,895.0,9.9,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,1.2,1.2,1.2,2.4,46.0,33.0,113.0,0.40,0.20,0.60,0.40,0.6,0.12,0.12,0.24,0.12,0.24,55.0
389,Christian Nørgaard,dk DEN,MF,Brentford,30.0,1994,34.0,34.0,2.819,31.3,5.0,4.0,9.0,5.0,0.0,0.0,8.0,1.0,4.3,4.3,1.3,5.6,14.0,154.0,42.0,0.16,0.13,0.29,0.16,0.29,0.14,0.04,0.18,0.14,0.18,
390,Jake O'Brien,ie IRL,DF,Everton,23.0,2001,20.0,17.0,1.571,17.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.8,0.8,0.6,1.3,7.0,50.0,25.0,0.11,0.00,0.11,0.11,0.11,0.04,0.03,0.08,0.04,0.08,18.0
391,Matt O'Riley,dk DEN,MF,Brighton,23.0,2000,21.0,11.0,938.0,10.4,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,2.8,2.0,2.4,4.4,22.0,38.0,52.0,0.19,0.19,0.38,0.10,0.29,0.27,0.23,0.5,0.20,0.42,22.0
392,Dara O'Shea,ie IRL,DF,Ipswich Town,25.0,1999,35.0,35.0,3.122,34.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,1.3,1.3,0.5,1.8,3.0,80.0,8.0,0.00,0.06,0.06,0.00,0.06,0.04,0.01,0.05,0.04,0.05,
